ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry
271,2008,Chemistry,Natural Sciences,,,,,Univ. of Miami School of Medicine,Toxicologist,Healthcare,Healthcare
272,2002,Chemistry,Natural Sciences,,,,,Fl. Senate Cmte on Environmental Preservation & Conservation,Staff Director,Government,Government
273,2003,Chemistry,Natural Sciences,,,,,Genentech,Regulatory Affairs Intern,Research,Research
274,2003,Chemistry,Natural Sciences,,,,,University of Arkansas for Medical Sciences,Asst. Professor & Dir. of Neuro-Oncology,Education,
275,2020,Chemistry,Natural Sciences,,,,,New College of Florida,Coordinator for Student Success & Disability,Higher education,Higher education
276,2002,Chemistry,Natural Sciences,,,,,Star2Star Communications,Software Developement Manager,Software Design,Software Design
277,2008,Chemistry,Natural Sciences,,,,,Regeneron,"Senior Mgr., Immune, Respiratory, & Infectious",Medical,
278,2016,Chemistry,Natural Sciences,,,,,Aetion,Scientist,Research,
279,2005,Chemistry,Natural Sciences,,,,,MIT Center for Cancer Research,Research Technician,Medical Research,Medical Research
280,2003,Chemistry,Natural Sciences,,,,,University of Wisconsin-Madison,Research Program Manager,Education,Education
281,2007,Chemistry,Natural Sciences,,,,,Lonza,Senior Manager,Technology,
282,2011,Chemistry,Natural Sciences,,,,,Intel,Process Engineer,Software,Software
283,2003,Chemistry,Natural Sciences,,,,,Georgia Inst. of Technology,PhD Candidate - Chemistry,Education,Education
284,2013,Chemistry,Natural Sciences,,,,,OSRAM,Optical Engineer,Manufacturing,Manufacturing
285,2004,Chemistry,Natural Sciences,,,,,L'Oréal,Senior Scientist II,Research,Research
286,2011,Chemistry,Natural Sciences,,,,,University of British Columbia,PhD Researcher,Education,Education
287,2006,Chemistry,Natural Sciences,,,,,Paraxel,Medical Research Associate,Medical Research,Medical Research
288,2013,Chemistry,Natural Sciences,,,,,Concentric Sky,Software Engineer,Software,Software
289,2013,Chemistry,Natural Sciences,,,,,University of Oregon,Graduate Teaching Fellow,Education,Education
290,2005,Chemistry,Natural Sciences,,,,,First Physcians Group,Hospitalist,Medical,Medical
291,2003,Chemistry,Natural Sciences,,,,,Vacuum Therapeutics,Founder,Medical,
292,2002,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Johns Hopkins Kimmel Cancer Center,Physcian,Medical,Medical
293,2014,Chemistry,Natural Sciences,Classics,Humanities,,,Self Employed,Social Media Consultant,Consulting,
294,2002,Chemistry,Natural Sciences,Physics,Natural Sciences,,,U. of Georgia,Associate Professor of Chemistry,Education,Education
295,2004,Art History,Humanities,Chemistry,Natural Sciences,,,Arkansas Department of Health,CDC Grant Corodinator,Public Health,
296,2013,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Johns Hopkins All Childrens Hospital,NICU Registered Nurse,Healthcare,Healthcare
297,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Whiting Petroleum Corporation,SCADA Systems Analyst II,Business,
298,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Unknown,,Education,Education
299,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Knobbe Martens,Associate,Law,
300,2018,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Miami-Dade County,Pollution Control Inspector,Government,Government
301,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,"BDO, USA LLP",Tax Intern,Accounting,Accounting
302,2017,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Roskamp Institute,Research Assistant,Research,
303,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Starbucks,Barista,Food and Lodging,Food and Lodging
304,2017,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Charles Schwab,Machine Learning Engineer,Software,Software
305,2015,Interdisciplinary,Interdisciplinary,Chemistry,Natural Sciences,,,ID Tech Camps,Lead instructor,Information Technology,Information Technology
306,2015,Chemistry,Natural Sciences,Physics,Natural Sciences,,,Roskamp Institute,Research Assistant,Healthcare,Healthcare
307,2012,Chinese Language and Culture,Humanities,,,,,Nanjing University,Student,Education,Education
308,2011,Chinese Language and Culture,Humanities,,,,,"Gao's Cabinet's, INC",Designer / Office Assistant,Home Improvement,Home Improvement
309,2013,Chinese Language and Culture,Humanities,,,,,Misawa City Board of Education,Assistant English Teacher,Education,Education
310,2020,History,Social Sciences,Chinese Language and Culture,Humanities,,,"O'Brien & Bennett, P.A.",Legal Assistant,Law,Law
311,2003,Classics,Humanities,,,,,unknown,,Unknown,
312,2009,Classics,Humanities,,,,,Jane Bancroft Cook Library,Digital Imaging Technician,Library,Library
313,2008,Classics,Humanities,,,,,"Shumaker, Loop & Kendrick, LLP",Attorney at Law,Attorney,Attorney
314,2006,Classics,Humanities,,,,,Oberlin College,,Education,Education
315,2003,Classics,Humanities,,,,,New College of Florida,Library Accountant,Education,Education
316,2004,Classics,Humanities,,,,,G&M Marine,Claims Manager,Marine,Marine
317,2009,Classics,Humanities,,,,,Starbucks,Barista,Food Service,Food Service
318,2002,Classics,Humanities,,,,,Hamilton College,Assistant Professor of Classics,Education,Education
319,2016,Classics,Humanities,,,,,UniGroup,Principal Data Scientist,Data Science,Data Science
320,2015,Classics,Humanities,Sociology,Social Sciences,,,The Walking Company,Sales Associate,Retail,Retail
321,2005,Anthropology,Social Sciences,Classics,Humanities,,,Fusion Academy,Teacher,Education,Education
322,2005,Anthropology,Social Sciences,Classics,Humanities,,,Food Tank,Sales & Accounting Associate,Non Profit,Non Profit
323,2010,Medieval & Renaissance Studies,Interdisciplinary,Classics,Humanities,,,unemployed,,Unemployed,
324,2020,Computer Science,Natural Sciences,,,,,Comcast,Software Engineer,Software,Software
325,2016,Computer Science,Natural Sciences,,,,,Amazon,Software Engineer,Software,Software
326,2017,Computer Science,Natural Sciences,,,,,Uber,Software Engineer,Software,Software
327,2020,Computer Science,Natural Sciences,,,,,The Climate Corporation,iOS Software Engineer,Software,Software
328,2020,Computer Science,Natural Sciences,,,,,The Palms At Indian Head,General Manager,Food and Lodging,
329,2020,Computer Science,Natural Sciences,,,,,University of Illinois at Urbana-Champaign,Graduate Teaching Assistant,Education,Education
330,2020,Computer Science,Natural Sciences,,,,,Passage Technology,Software Developer,Software,Software
331,2020,Computer Science,Natural Sciences,,,,,Prodigy Information Technologies,Software Developer,Software,Software
332,2018,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,,,Vision Systems Inc.,Research Engineer,Research,
333,2009,Computer Science,Natural Sciences,,,,,"University of California, Berkeley",Graduate Student Researcher and Instructor,Education,Education
334,2011,Computer Science,Natural Sciences,,,,,Cisco Systems,Software Engineer,IT Communications,IT Communications
335,2010,Computer Science,Natural Sciences,,,,,Collaborate MD,Software Engineer,Information Technology,Information Technology
336,2006,Computer Science,Natural Sciences,,,,,Pegasus Imaging,Software Engineer,Imaging,Imaging
337,2013,Biology,,,,,,Ohio Water Resources Center,Grad Administrative Assistant,Research,
338,2015,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,Behavior Analyst Certification Board,Research Specialist,Non Profit,Non Profit
339,2019,International and Area Studies,Interdisciplinary,Anthropology,Social Sciences,,,New College of Florida,Hebrew teaching Assistant,Education,Education
340,2014,Biology,Natural Sciences,,,,,Florida Museum of Natural History,Environmental Archaeology Collections Assistant,Museums and Institutions,
341,2009,Economics,Social Sciences,,,,,italist,Head of Growth Marketing,Marketing,Marketing
342,2005,Economics,Social Sciences,,,,,Remy Moose Manley LLP,Summer Associate,Environmental Law,Environmental Law
343,2006,Economics,Social Sciences,,,,,Smart Data Science Solutions,Founder and Priciple Data Scientist,Business,Business
344,2010,Economics,Social Sciences,,,,,Eversheds Sutherland (US) LLP,,Law,
345,2013,Economics,Social Sciences,,,,,Polston Applied Technologies LLC,Market Research Analyst Intern,Marketing,
346,2016,Economics,Social Sciences,,,,,Savino & Miller Design Studio,Business Development & Marketing Manager,Marketing,Marketing
347,2010,Economics,Social Sciences,,,,,Flexport,"Trade Manager, Allocation & Yield",Business,
348,2012,Economics,Social Sciences,,,,,MeetElise,COO/CFO,Real Estate,
349,2011,Economics,Social Sciences,,,,,DeGeorge Room Improvement,Installed Sales Manager,Construction,Construction
350,2010,Economics,Social Sciences,,,,,Albert-Ludwigs Universität Freiburg,Graduate Student,Education,Education
351,2012,Economics,Social Sciences,,,,,Government Accountability Office,Senior Economist,Government,Government
352,2003,Economics,Social Sciences,,,,,Marker Jen,Owner,Arts,Arts
353,2008,Economics,Social Sciences,,,,,American Civil Liberties Union (ACLU),Law Clerk,Law,Law
354,2010,Economics,Social Sciences,,,,,"Atlantic Union Equipment Finance, Inc.",Regional Director,Financial Services,
355,2019,Economics,Social Sciences,,,,,Whole Foods Market,Retail Data Operations Specialist,Retail,Retail
356,2002,Economics,Social Sciences,,,,,Wood Asset Management,Equity Research Analyst,Financial Services,Financial Services
357,2002,Economics,Social Sciences,,,,,Ropes & Gray LLP,Associate,Law,Law
358,2008,Economics,Social Sciences,,,,,RONCO Consulting Corporation,Proposal Manager,Government,Government
359,2005,Economics,Social Sciences,,,,,Hill Ward Henderson,Associate Attorney,Law,Law
360,2003,Economics,Social Sciences,,,,,Smoking Goat Epicurean Arts / High Cove / Next Level Technol,Personal Chef,Food and Lodging,Food and Lodging
361,2015,Economics,Social Sciences,,,,,Global Ordnance LLC,Staff Accountant,Business,
362,2004,Economics,Social Sciences,,,,,Good Steward Financial,Owner and Counselor,Financial Services,Financial Services
363,2013,Economics,Social Sciences,,,,,unknown,Intern,Unknown,
364,2014,Economics,Social Sciences,,,,,Planned Parenthood,Call Center Representitive,Non Profit,Non Profit
365,2013,Economics,Social Sciences,,,,,Zip-Loc of SW Florida,Flooring,Construction,Construction
366,2009,Economics,Social Sciences,,,,,PowerDMS,Software Engineer,Software,Software
367,2013,Economics,Social Sciences,,,,,Kroll,Transfer Pricing Senior Associate,Consulting,
368,2006,Economics,Social Sciences,,,,,The Institute for Defense Analyses (IDA),Research Staff Member (Statistics),Defense & Space,Defense & Space
369,2010,Economics,Social Sciences,,,,,Ideal Properties Group,Multimedia Designer,Arts,Arts
370,2009,Economics,Social Sciences,,,,,MailChimp,Senior Product Analyst,Marketing,
371,2006,Economics,Social Sciences,,,,,Alternatives Federal Credit Union,Director of Development,Banking,
372,2002,Economics,Social Sciences,,,,,"Morgan Stanley, Inc.",Financial Advisor,Financial Services,Financial Services
373,2013,Economics,Social Sciences,,,,,Greenspace Financial,Founder & Financial Advisor,Financial Services,
374,2011,Economics,Social Sciences,,,,,Lundbeck,Neurology Account Rep,Pharmaceutical,Pharmaceutical
375,2003,Economics,Social Sciences,,,,,"Mariah Holder, Esq.",Sole Practicioner,Law,Law
376,2012,Economics,Social Sciences,,,,,United Healthcare,Associate Data Engineer,Information Technology,Information Technology
377,2018,Economics,Social Sciences,,,,,"Stofel & Associates Realty, Inc",Realtor & Office Manager,Real Estate,Real Estate
378,2008,Economics,Social Sciences,,,,,self employed,Artist - octopus jewelry,Arts,Arts
379,2009,Economics,Social Sciences,,,,,BBUA Compass,Banker,Financial Services,Financial Services
380,2013,Economics,Social Sciences,,,,,Goldfarb & Lipman,Attorney,Law,Law
381,2010,Economics,Social Sciences,,,,,Smithsonian,Independent Contractor,Museums and Institutions,
382,2004,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,World Bank Institute Evaluation Group,,Banking,
383,2003,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Hispanic/Latino Coalition,Researcher,Nonprofit,Nonprofit
384,2010,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Bank of America,"Assistant VP, Document Administrator III",Banking,
385,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,"Saxon, Gilmore, Carraway",Associate Attorney,Law,Law
386,2010,Economics,Social Sciences,Mathematics,Natural Sciences,,,College of William & Mary,Asst Professor,Education,Education
387,2013,Economics,Social Sciences,Political Science,Social Sciences,,,Young Conaway,Associate,Attorney,Attorney
388,2018,Economics,Social Sciences,Political Science,Social Sciences,,,Bureau of Labor Statistics,Economist,Government,Government
389,2010,Economics,Social Sciences,Public Policy,Interdisciplinary,,,FDIC,Financial Economist,Financial Services,Financial Services
390,2011,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,US Dept of Homeland Security,Economist,Government,Government
391,2010,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,Ranieri Real Estate Advisors,Analyst,Investment banking,Investment banking
392,2018,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,New College,Residence Hall Director,Higher education,Higher education
393,2015,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,UF Health,Senior Health Economics Analyst,Medical,
394,2008,Economics,Social Sciences,Biology,Natural Sciences,,,James A Haley VA Hospital,Psychiatrist,Psychotherapy,Psychotherapy
395,2005,Economics,Social Sciences,Biology,Natural Sciences,,,unknown,,Unknown,
396,2007,Economics,Social Sciences,Environmental Studies,Interdisciplinary,,,University of Florida,Professor - Economics,Education,Education
397,2018,Economics,Social Sciences,Economics,Social Sciences,,,Krull-Smith,Florist,Farming,Farming
398,2019,Economics,Social Sciences,Economics,Social Sciences,,,Accenture CIPP/E,Security Consulting Analyst,Business Consulting,
399,2019,Economics,Social Sciences,Economics,Social Sciences,,,Unum,Business Analyst,Financial Services,
400,2016,Economics,Social Sciences,Economics,Social Sciences,,,MapleMark Bank,Sr. Data Analyst,Banking,
401,2020,Economics,Social Sciences,Economics,Social Sciences,,,FIS,Business Analyst,Financial Services,
402,2012,Gender Studies,Social Sciences,Economics,Social Sciences,,,University of Utah,teaching assistant,Education,Education
403,2014,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Sequoya Group,Business Analyst,Business Consulting,
404,2018,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Dees Insurance Group,Insurance Advisor,Insurance,Insurance
405,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,IMG Academies,Staff,Sports Management,Sports Management
406,2010,Mathematics,Natural Sciences,Economics,Social Sciences,,,University of Georgia,PhD Student,Education,Education
407,2014,Mathematics,Natural Sciences,Economics,Social Sciences,,,University of Wisconsin-Madison,Teaching Assistant,Education,Education
408,2009,Mathematics,Natural Sciences,Economics,Social Sciences,,,CitiGroup,Leveraged Finance Analyst,Financial Services,Financial Services
409,2020,Urban Studies,Interdisciplinary,Economics,Social Sciences,,,Realize Bradenton,Research Assistant,Research,Research
410,2004,Economics,Social Sciences,Political Science,Social Sciences,,,Middle District of Florida Federal Public Defender,Assistant Federal Defender,Law,
411,2008,Economics,Social Sciences,Political Science,Social Sciences,,,Sims and Sims LLP,Attorney,Law,Law
412,2014,English,Humanities,,,,,Equivity,Virtual Marketing Assistant,Marketing,Marketing
413,2010,English,Humanities,,,,,Micro Focus International,,Marketing,Marketing
414,2010,English,Humanities,,,,,Columbia College Chicago,Graduate Student & Published Author,Education,Education
415,2015,English,Humanities,,,,,Sunshine Home Montessori School,Montessori English Teacher,Education,Education
416,2014,English,Humanities,,,,,Unknown,,Non Profit,Non Profit
417,2011,English,Humanities,,,,,YourMembership,Quality Assurance Engineer,Software,Software
418,2015,English,Humanities,,,,,Informa Markets,Digital Marketing Manager,Marketing,Marketing
419,2010,English,Humanities,,,,,New College - Black Box Theatre,Technical Director,Arts,
420,2019,English,Humanities,,,,,Webstaurantstore.com,Content Writer,Business,
421,2012,English,Humanities,,,,,The Maryland Multi-Housing Association,Marketing Director,Non Profit,Non Profit
422,2011,English,Humanities,,,,,MemberClicks,Site Reliability Engineer,Software,Software
423,2016,English,Humanities,,,,,Freelance writer,Freelance writer,Media,Media
424,2014,English,Humanities,,,,,State College of Florida Foundation,Alumni Coordinator,Education,Education
425,2020,English,Humanities,,,,,Nuovo Bride Magazine and Events,Social Media Manager (freelance),Media,Media
426,2011,English,Humanities,,,,,Unknown,Editor,Publishing,Publishing
427,2014,English,Humanities,,,,,University of Mississippi,Teaching Assistant,Education,Education
428,2013,English,Humanities,,,,,Shipping,Processor,Shipping,Shipping
429,2020,Interdisciplinary,Interdisciplinary,English,Humanities,,,Pinellas County Tax Collector,Communications Specialist,Communications,Communications
430,2013,English,Humanities,Art History,Humanities,,,USF Health,Operations Manager,Education,Education
431,2013,English,Humanities,Gender Studies,Social Sciences,,,Green Door Behavioral Health,Employment Specialist,Human Resources,Human Resources
432,2014,History,Social Sciences,English,Humanities,,,Emissary,Senior Software Engineer,Software,Software
433,2012,Philosophy,Humanities,English,Humanities,,,Poloi Players' Editron Magazine,Editor,Publishing,Publishing
434,2013,English,Humanities,Russian Language and Literature,Humanities,,,Planned Parenthood,Development and Event Coordinator,Non Profit,Non Profit
435,2008,Biology,Natural Sciences,,,,,Yale School of Forestry & Environmental Studies,Research Assistant,Education,Education
436,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Centers for Disease Control and Prevention,Epidemiologist,Healthcare,Healthcare
437,2015,Environmental Studies,Interdisciplinary,Biopsychology,Interdisciplinary,,,US Forest Service,Forestry Tecnician,Government,Government
438,2004,Art,Humanities,Environmental Studies,Interdisciplinary,,,Center for Research in Nutrition and Health Disparities,Evaluation Coordinator / Research Coordinator,Healthcare,Healthcare
439,2012,Environmental Studies,Interdisciplinary,,,,,Ace Hardware,Marketing Manager,Retail,Retail
440,2002,Environmental Studies,Interdisciplinary,,,,,Loyola University,Director of Admissions Operations and Technology,Education,Education
441,2002,Environmental Studies,Interdisciplinary,,,,,Morgan Films,Film Producer,Arts & Entertainment,Arts & Entertainment
442,2013,Environmental Studies,Interdisciplinary,,,,,Ringling Museum,Event Assistant,Services,Services
443,2008,Environmental Studies,Interdisciplinary,,,,,University of Florida,Entomology Research Assistant,Education,Education
444,2014,Environmental Studies,Interdisciplinary,,,,,Friendship Centers,Creative Services Coordinator,Non Profit,Non Profit
445,2017,Environmental Studies,Interdisciplinary,,,,,University of Oregon,Graduate Employee,Education,
446,2005,Environmental Studies,Interdisciplinary,,,,,WA State Office of the Attorney General,Assistant Attorney General,Law,Law
447,2016,Environmental Studies,Interdisciplinary,,,,,ScribeAmerica,Manager,Healthcare,Healthcare
448,2011,Environmental Studies,Interdisciplinary,,,,,Clean Water Action,Community Organizer,Non Profit,Non Profit
449,2011,Environmental Studies,Interdisciplinary,Art,Humanities,,,Kendall Regional Medical Center,Emergency Medicine Resident,Medical,
450,2012,Environmental Studies,Interdisciplinary,,,,,Mise en Place Catering,Server,Food Service,Food Service
451,2005,Environmental Studies,Interdisciplinary,,,,,U.S. Fish and Wildlife Services,Biologist (Endangered Species),Environmental Services,Environmental Services
452,2010,Environmental Studies,Interdisciplinary,,,,,Advance Auto Parts,Parts Sales Professional and 4th Key Holder,Retail,Retail
453,2006,Environmental Studies,Interdisciplinary,,,,,Catch a Piece of Maine,Managing Director,Food Franchise,Food Franchise
454,2009,Environmental Studies,Interdisciplinary,,,,,Leesburg Public Library,Young Adult Librarian,Library,Library
455,2008,Environmental Studies,Interdisciplinary,,,,,Urban Acre Homestead,Owner,Farming,Farming
456,2014,Environmental Studies,Interdisciplinary,,,,,PropLogix,Manager of IT,Technology,Technology
457,2012,Environmental Studies,Interdisciplinary,,,,,Stetson Law School,Law Student,Education,Education
458,2015,Environmental Studies,Interdisciplinary,,,,,Manatee County Parks & Nat. Res.,Site Supervisor,Government,Government
459,2009,Environmental Studies,Interdisciplinary,,,,,Studio Yooga,Owner,Healthcare Services,
460,2006,Environmental Studies,Interdisciplinary,,,,,Unknown,Field Technician,Environmental,Environmental
461,2013,Environmental Studies,Interdisciplinary,,,,,Woodland Ranch,,Real Estate,
462,2007,Environmental Studies,Interdisciplinary,,,,,Whole Foods,Sustainability Consultant,Retail,
463,2013,Environmental Studies,Interdisciplinary,,,,,El Greco Cafe,Hostess,Food and Lodging,Food and Lodging
464,2006,Environmental Studies,Interdisciplinary,,,,,SomaGaia,"Bodyworker, Yoga Instructor, Somatic Env. Educ.",Health & Fitness,Health & Fitness
465,2009,Environmental Studies,Interdisciplinary,,,,,"WJB Capital Group, Inc.",Business Development & Asian Trading,Economic Development,Economic Development
466,2008,Environmental Studies,Interdisciplinary,,,,,Atkins,Senior Scientist,Environmental,Environmental
467,2015,Environmental Studies,Interdisciplinary,,,,,Natural Stone Solutions,Sales,Business,Business
468,2020,Environmental Studies,Interdisciplinary,,,,,Drinkswell Service Co.,Assistant,Food Service,
469,2002,Environmental Studies,Interdisciplinary,,,,,"Office of Watersheds, Philadelphia Water Department",City Planner,City/County/State,City/County/State
470,2012,Environmental Studies,Interdisciplinary,,,,,Spiral Samurai,Creative Director,Performing Arts,Performing Arts
471,2006,Environmental Studies,Interdisciplinary,,,,,Myler Disability,Attorney,Law,Law
472,2008,Environmental Studies,Interdisciplinary,,,,,NYC Department of Parks and Recreation,Resource Analyst,Government,Government
473,2012,Environmental Studies,Interdisciplinary,,,,,Pan African Sanctuary Alliance,Administration and Communications Manager,Non Profit,Non Profit
474,2015,Environmental Studies,Interdisciplinary,,,,,American Museum of Natural History,Museum Educator Supervisor,Museums and Institutions,Museums and Institutions
475,2009,Environmental Studies,Interdisciplinary,,,,,Unknown,,Environmental Services,Environmental Services
476,2013,Environmental Studies,Interdisciplinary,,,,,Phillies Bidge Farm Project,Apprentice,Non Profit,Non Profit
477,2012,Environmental Studies,Interdisciplinary,,,,,Guest Services Inc,Bartender,Services,Services
478,2008,Environmental Studies,Interdisciplinary,,,,,Nature Conservancy,,Environmental,
479,2012,Environmental Studies,Interdisciplinary,,,,,Fluke Corporation,Global Product Marketing Manager,Marketing,Marketing
480,2005,Environmental Studies,Interdisciplinary,,,,,The Xerces Society,Endangered Species Conservation Associate,Environmental Services,Environmental Services
481,2007,Environmental Studies,Interdisciplinary,,,,,Duvall County Public Schools,Teacher,Education,Education
482,2003,Environmental Studies,Interdisciplinary,,,,,"USDA, NRCS",Soil Conservationist,Environmental Services,Environmental Services
483,2013,Environmental Studies,Interdisciplinary,,,,,Audra Locicero Photography,Freelance Photographer,Arts,Arts
484,2015,Environmental Studies,Interdisciplinary,,,,,Orange County Environmental Protection Division,GIS Intern,Government,Government
485,2017,Environmental Studies,Interdisciplinary,,,,,Planned Parenthood,Health Assistant,Healthcare,Healthcare
486,2003,Environmental Studies,Interdisciplinary,Performance Studies,Interdisciplinary,,,unknown,Producer,Arts & Entertainment,Arts & Entertainment
487,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,PhD Candidate in Anthropology,,Education,Education
488,2015,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,Orlando Science Center,Educator,Education,Education
489,2002,Environmental Studies,Interdisciplinary,Economics,Social Sciences,,,Illinois State University,Assistant Professor,Education,Education
490,2007,Marine Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,University of FL-Program of Fisheries & Aquatic Sciences,Graduate Assistant,Education,Education
491,2020,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,,,Sarasota County Government,Planning and Development Services Intern,City/County/State,City/County/State
492,2010,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,,,Georgia Department of Community Affairs,Multifamily Underwriter,City/County/State,City/County/State
493,2007,Foreign Languages and Literatures,Humanities,,,,,Unemployed,,Unemployed,
494,2008,Classics,Humanities,Foreign Languages and Literatures,Humanities,,,Unknown,,Publishing,Publishing
495,2008,Foreign Languages and Literatures,Humanities,Performance Studies,Interdisciplinary,,,Univeristy of Leipzig,Translator,Education,Education
496,2006,French,Humanities,,,,,Boston Public Library,Librarian,Library,Library
497,2013,French,Humanities,,,,,TAPIF,Teaching Assistant,Education,Education
498,2009,English,Humanities,French,Humanities,,,"Barrasso Usdin Kupperman Freeman & Sarver, LLC",Associate,Law,
499,2012,English,Humanities,French,Humanities,,,Berklee College of Music,Assistant Resident Director,Education,Education
500,2013,English,Humanities,French,Humanities,,,Freelance Copywriter,Freelance Writer,Marketing,Marketing
501,2009,French,Humanities,Environmental Studies,Interdisciplinary,,,Freelance Director,,Film,Film
502,2006,Gender Studies,Social Sciences,French,Humanities,,,Austin Film Society,Associate Artistic Director,Film,Film
503,2019,Gender Studies,Social Sciences,,,,,Kansas City Art Institute,Assistant Director of Housing,Arts,
504,2019,Spanish Language and Literature,Humanities,Gender Studies,Social Sciences,,,Holochain,Events & Community Calendar,Technology,
505,2020,Music,Humanities,Gender Studies,Social Sciences,,,A2f Studios,Assistant Studio Manager,Music,Music
506,2010,Interdisciplinary,Interdisciplinary,,,,,StoryKeep,Marketing and Communications Coordinator,Marketing,Marketing
507,2008,Interdisciplinary,Interdisciplinary,,,,,Notarize Inc,Software QA Engineer,Software,Software
508,2008,Interdisciplinary,Interdisciplinary,,,,,Coldwell Banker,Realtor,real estate,
509,2015,Interdisciplinary,Interdisciplinary,,,,,Sarasota Key Chorale,Arts Administration,Performing Arts,Performing Arts
510,2010,Interdisciplinary,Interdisciplinary,,,,,Unknown,Bike Mechanic,Engineering,
511,2002,Interdisciplinary,Interdisciplinary,,,,,Chaturanga Holistic Fitness,Owner,Health & Fitness,Health & Fitness
512,2004,Interdisciplinary,Interdisciplinary,,,,,Unknown,Teacher / secondary,Education,Education
513,2008,Interdisciplinary,Interdisciplinary,,,,,Rogue Promotions LLC,Owner,Marketing,
514,2008,Interdisciplinary,Interdisciplinary,,,,,KUOW Public Radio,Producer,Media,Media
515,2009,Interdisciplinary,Interdisciplinary,,,,,Stanfords Restaurant,Bartender,Restaurant,Restaurant
516,2002,Interdisciplinary,Interdisciplinary,,,,,Seeds of Change Mala,Founder/Owner,Retail,Retail
517,2010,Interdisciplinary,Interdisciplinary,,,,,Defenders of Wildlife,Recruiting Manager,Environmental,
518,2002,Interdisciplinary,Interdisciplinary,,,,,National Parks Conservation Association,California Desert Field Representative,Environmental,
519,2007,Interdisciplinary,Interdisciplinary,,,,,Park Associates,Research Analyst,Research,Research
520,2014,Interdisciplinary,Interdisciplinary,,,,,NSCAD University,Design Consultant,Education,
521,2002,Interdisciplinary,Interdisciplinary,,,,,Jacksonville Library System,Librarian,Education,Education
522,2009,Interdisciplinary,Interdisciplinary,,,,,University of Florida,Research Coordinator,Education,Education
523,2007,Interdisciplinary,Interdisciplinary,,,,,UCSF Alliance Health Project,Student & Clinical Social Work intern,Non Profit,Non Profit
524,2011,Interdisciplinary,Interdisciplinary,,,,,UMass Amherst Center for Counseling & Psychological Health,,Psychotherapy,
525,2005,Interdisciplinary,Interdisciplinary,,,,,Bee Hunter Wine,Founder & Proprietor,Food,
526,2013,Interdisciplinary,Interdisciplinary,,,,,TAPIF,English Assistant,Education,Education
527,2009,Interdisciplinary,Interdisciplinary,,,,,Business & Decision,Oracle Consultant,Business Consulting,Business Consulting
528,2002,Interdisciplinary,Interdisciplinary,,,,,P. Scott Russell P.A.,Law Office Manager,Law,Law
529,2013,Interdisciplinary,Interdisciplinary,,,,,Trustwave,,Information Technology,
530,2004,Interdisciplinary,Interdisciplinary,,,,,Castle Group,Concierge,Hospitality,Hospitality
531,2006,Interdisciplinary,Interdisciplinary,,,,,The Lunch Pad,Food Truck operator,Food Services,
532,2014,Interdisciplinary,Interdisciplinary,,,,,Americorp,Tutor / Teaching,Non Profit,Non Profit
533,2016,Interdisciplinary,Interdisciplinary,,,,,Manatee County - Building and Development Services Dept,GIS Systems Analyst II,Government,Government
534,2002,Interdisciplinary,Interdisciplinary,,,,,LEED AP,Designer,Architecture,Architecture
535,2004,Interdisciplinary,Interdisciplinary,,,,,Ra(y)ndomness Enterprises,Lifestyle Consultant,Services,
536,2006,Interdisciplinary,Interdisciplinary,,,,,Habitat Suites Hotel,Front Desk Receptionist,Food and Lodging,Food and Lodging
537,2005,German Language and Literature,Humanities,,,,,University of Passau,University lecturer,Education,Education
