ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
303,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Starbucks,Barista,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
304,2017,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Charles Schwab,Machine Learning Engineer,Software,Software,STEM,STEM
305,2015,Interdisciplinary,Interdisciplinary,Chemistry,Natural Sciences,NA,NA,ID Tech Camps,Lead instructor,Information Technology,Information Technology,STEM,STEM
306,2015,Chemistry,Natural Sciences,Physics,Natural Sciences,NA,NA,Roskamp Institute,Research Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
307,2012,Chinese Language and Culture,Humanities,NA,NA,NA,NA,Nanjing University,Student,Education,Education,Education,Education
308,2011,Chinese Language and Culture,Humanities,NA,NA,NA,NA,"Gao's Cabinet's, INC",Designer / Office Assistant,Home Improvement,Home Improvement,"Business, Finance, and Retail","Business, Finance, and Retail"
309,2013,Chinese Language and Culture,Humanities,NA,NA,NA,NA,Misawa City Board of Education,Assistant English Teacher,Education,Education,Education,Education
310,2020,History,Social Sciences,Chinese Language and Culture,Humanities,NA,NA,"O'Brien & Bennett, P.A.",Legal Assistant,Law,Law,Government and Social Services,Government and Social Services
311,2003,Classics,Humanities,NA,NA,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
312,2009,Classics,Humanities,NA,NA,NA,NA,Jane Bancroft Cook Library,Digital Imaging Technician,Library,Library,Education,Education
313,2008,Classics,Humanities,NA,NA,NA,NA,"Shumaker, Loop & Kendrick, LLP",Attorney at Law,Attorney,Attorney,Government and Social Services,Government and Social Services
314,2006,Classics,Humanities,NA,NA,NA,NA,Oberlin College,NA,Education,Education,Education,Education
315,2003,Classics,Humanities,NA,NA,NA,NA,New College of Florida,Library Accountant,Education,Education,Education,Education
316,2004,Classics,Humanities,NA,NA,NA,NA,G&M Marine,Claims Manager,Marine,Marine,STEM,STEM
317,2009,Classics,Humanities,NA,NA,NA,NA,Starbucks,Barista,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
318,2002,Classics,Humanities,NA,NA,NA,NA,Hamilton College,Assistant Professor of Classics,Education,Education,Education,Education
319,2016,Classics,Humanities,NA,NA,NA,NA,UniGroup,Principal Data Scientist,Data Science,Data Science,STEM,STEM
320,2015,Classics,Humanities,Sociology,Social Sciences,NA,NA,The Walking Company,Sales Associate,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
321,2005,Anthropology,Social Sciences,Classics,Humanities,NA,NA,Fusion Academy,Teacher,Education,Education,Education,Education
322,2005,Anthropology,Social Sciences,Classics,Humanities,NA,NA,Food Tank,Sales & Accounting Associate,Non Profit,Non Profit,Government and Social Services,Government and Social Services
323,2010,Medieval & Renaissance Studies,Interdisciplinary,Classics,Humanities,NA,NA,unemployed,NA,Unemployed,NA,Unemployed,Other
324,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,Comcast,Software Engineer,Software,Software,STEM,STEM
325,2016,Computer Science,Natural Sciences,NA,NA,NA,NA,Amazon,Software Engineer,Software,Software,STEM,STEM
326,2017,Computer Science,Natural Sciences,NA,NA,NA,NA,Uber,Software Engineer,Software,Software,STEM,STEM
327,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,The Climate Corporation,iOS Software Engineer,Software,Software,STEM,STEM
328,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,The Palms At Indian Head,General Manager,Food and Lodging,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
329,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,University of Illinois at Urbana-Champaign,Graduate Teaching Assistant,Education,Education,Education,Education
330,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,Passage Technology,Software Developer,Software,Software,STEM,STEM
331,2020,Computer Science,Natural Sciences,NA,NA,NA,NA,Prodigy Information Technologies,Software Developer,Software,Software,STEM,STEM
332,2018,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,NA,NA,Vision Systems Inc.,Research Engineer,Research,NA,STEM,STEM
333,2009,Computer Science,Natural Sciences,NA,NA,NA,NA,"University of California, Berkeley",Graduate Student Researcher and Instructor,Education,Education,Education,Education
334,2011,Computer Science,Natural Sciences,NA,NA,NA,NA,Cisco Systems,Software Engineer,IT Communications,IT Communications,STEM,STEM
335,2010,Computer Science,Natural Sciences,NA,NA,NA,NA,Collaborate MD,Software Engineer,Information Technology,Information Technology,STEM,STEM
336,2006,Computer Science,Natural Sciences,NA,NA,NA,NA,Pegasus Imaging,Software Engineer,Imaging,Imaging,STEM,STEM
337,2013,Biology,NA,NA,NA,NA,NA,Ohio Water Resources Center,Grad Administrative Assistant,Research,NA,STEM,STEM
338,2015,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,NA,NA,Behavior Analyst Certification Board,Research Specialist,Non Profit,Non Profit,Government and Social Services,Government and Social Services
339,2019,International and Area Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,New College of Florida,Hebrew teaching Assistant,Education,Education,Education,Education
340,2014,Biology,Natural Sciences,NA,NA,NA,NA,Florida Museum of Natural History,Environmental Archaeology Collections Assistant,Museums and Institutions,NA,Education,Education
341,2009,Economics,Social Sciences,NA,NA,NA,NA,italist,Head of Growth Marketing,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
342,2005,Economics,Social Sciences,NA,NA,NA,NA,Remy Moose Manley LLP,Summer Associate,Environmental Law,Environmental Law,Government and Social Services,Government and Social Services
343,2006,Economics,Social Sciences,NA,NA,NA,NA,Smart Data Science Solutions,Founder and Priciple Data Scientist,Business,Business,"Business, Finance, and Retail","Business, Finance, and Retail"
344,2010,Economics,Social Sciences,NA,NA,NA,NA,Eversheds Sutherland (US) LLP,NA,Law,NA,Government and Social Services,Government and Social Services
345,2013,Economics,Social Sciences,NA,NA,NA,NA,Polston Applied Technologies LLC,Market Research Analyst Intern,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
346,2016,Economics,Social Sciences,NA,NA,NA,NA,Savino & Miller Design Studio,Business Development & Marketing Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
347,2010,Economics,Social Sciences,NA,NA,NA,NA,Flexport,"Trade Manager, Allocation & Yield",Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
348,2012,Economics,Social Sciences,NA,NA,NA,NA,MeetElise,COO/CFO,Real Estate,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
349,2011,Economics,Social Sciences,NA,NA,NA,NA,DeGeorge Room Improvement,Installed Sales Manager,Construction,Construction,STEM,STEM
350,2010,Economics,Social Sciences,NA,NA,NA,NA,Albert-Ludwigs Universität Freiburg,Graduate Student,Education,Education,Education,Education
351,2012,Economics,Social Sciences,NA,NA,NA,NA,Government Accountability Office,Senior Economist,Government,Government,Government and Social Services,Government and Social Services
352,2003,Economics,Social Sciences,NA,NA,NA,NA,Marker Jen,Owner,Arts,Arts,Arts and Media,Arts and Media
353,2008,Economics,Social Sciences,NA,NA,NA,NA,American Civil Liberties Union (ACLU),Law Clerk,Law,Law,Government and Social Services,Government and Social Services
354,2010,Economics,Social Sciences,NA,NA,NA,NA,"Atlantic Union Equipment Finance, Inc.",Regional Director,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
355,2019,Economics,Social Sciences,NA,NA,NA,NA,Whole Foods Market,Retail Data Operations Specialist,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
356,2002,Economics,Social Sciences,NA,NA,NA,NA,Wood Asset Management,Equity Research Analyst,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
357,2002,Economics,Social Sciences,NA,NA,NA,NA,Ropes & Gray LLP,Associate,Law,Law,Government and Social Services,Government and Social Services
358,2008,Economics,Social Sciences,NA,NA,NA,NA,RONCO Consulting Corporation,Proposal Manager,Government,Government,Government and Social Services,Government and Social Services
359,2005,Economics,Social Sciences,NA,NA,NA,NA,Hill Ward Henderson,Associate Attorney,Law,Law,Government and Social Services,Government and Social Services
360,2003,Economics,Social Sciences,NA,NA,NA,NA,Smoking Goat Epicurean Arts / High Cove / Next Level Technol,Personal Chef,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
361,2015,Economics,Social Sciences,NA,NA,NA,NA,Global Ordnance LLC,Staff Accountant,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
362,2004,Economics,Social Sciences,NA,NA,NA,NA,Good Steward Financial,Owner and Counselor,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
363,2013,Economics,Social Sciences,NA,NA,NA,NA,unknown,Intern,Unknown,NA,Unknown,Other
364,2014,Economics,Social Sciences,NA,NA,NA,NA,Planned Parenthood,Call Center Representitive,Non Profit,Non Profit,Government and Social Services,Government and Social Services
365,2013,Economics,Social Sciences,NA,NA,NA,NA,Zip-Loc of SW Florida,Flooring,Construction,Construction,STEM,STEM
366,2009,Economics,Social Sciences,NA,NA,NA,NA,PowerDMS,Software Engineer,Software,Software,STEM,STEM
367,2013,Economics,Social Sciences,NA,NA,NA,NA,Kroll,Transfer Pricing Senior Associate,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
368,2006,Economics,Social Sciences,NA,NA,NA,NA,The Institute for Defense Analyses (IDA),Research Staff Member (Statistics),Defense & Space,Defense & Space,Government and Social Services,Government and Social Services
369,2010,Economics,Social Sciences,NA,NA,NA,NA,Ideal Properties Group,Multimedia Designer,Arts,Arts,Arts and Media,Arts and Media
370,2009,Economics,Social Sciences,NA,NA,NA,NA,MailChimp,Senior Product Analyst,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
371,2006,Economics,Social Sciences,NA,NA,NA,NA,Alternatives Federal Credit Union,Director of Development,Banking,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
372,2002,Economics,Social Sciences,NA,NA,NA,NA,"Morgan Stanley, Inc.",Financial Advisor,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
373,2013,Economics,Social Sciences,NA,NA,NA,NA,Greenspace Financial,Founder & Financial Advisor,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
374,2011,Economics,Social Sciences,NA,NA,NA,NA,Lundbeck,Neurology Account Rep,Pharmaceutical,Pharmaceutical,Health and Medicine,Health and Medicine
375,2003,Economics,Social Sciences,NA,NA,NA,NA,"Mariah Holder, Esq.",Sole Practicioner,Law,Law,Government and Social Services,Government and Social Services
376,2012,Economics,Social Sciences,NA,NA,NA,NA,United Healthcare,Associate Data Engineer,Information Technology,Information Technology,STEM,STEM
377,2018,Economics,Social Sciences,NA,NA,NA,NA,"Stofel & Associates Realty, Inc",Realtor & Office Manager,Real Estate,Real Estate,"Business, Finance, and Retail","Business, Finance, and Retail"
378,2008,Economics,Social Sciences,NA,NA,NA,NA,self employed,Artist - octopus jewelry,Arts,Arts,Arts and Media,Arts and Media
379,2009,Economics,Social Sciences,NA,NA,NA,NA,BBUA Compass,Banker,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
380,2013,Economics,Social Sciences,NA,NA,NA,NA,Goldfarb & Lipman,Attorney,Law,Law,Government and Social Services,Government and Social Services
381,2010,Economics,Social Sciences,NA,NA,NA,NA,Smithsonian,Independent Contractor,Museums and Institutions,NA,Education,Education
382,2004,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,World Bank Institute Evaluation Group,NA,Banking,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
383,2003,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Hispanic/Latino Coalition,Researcher,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
384,2010,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Bank of America,"Assistant VP, Document Administrator III",Banking,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
385,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,"Saxon, Gilmore, Carraway",Associate Attorney,Law,Law,Government and Social Services,Government and Social Services
386,2010,Economics,Social Sciences,Mathematics,Natural Sciences,NA,NA,College of William & Mary,Asst Professor,Education,Education,Education,Education
387,2013,Economics,Social Sciences,Political Science,Social Sciences,NA,NA,Young Conaway,Associate,Attorney,Attorney,Government and Social Services,Government and Social Services
388,2018,Economics,Social Sciences,Political Science,Social Sciences,NA,NA,Bureau of Labor Statistics,Economist,Government,Government,Government and Social Services,Government and Social Services
389,2010,Economics,Social Sciences,Public Policy,Interdisciplinary,NA,NA,FDIC,Financial Economist,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
390,2011,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,US Dept of Homeland Security,Economist,Government,Government,Government and Social Services,Government and Social Services
391,2010,Applied Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,Ranieri Real Estate Advisors,Analyst,Investment banking,Investment banking,"Business, Finance, and Retail","Business, Finance, and Retail"
392,2018,Applied Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,New College,Residence Hall Director,Higher education,Higher education,Education,Education
393,2015,Applied Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,UF Health,Senior Health Economics Analyst,Medical,NA,Health and Medicine,Health and Medicine
394,2008,Economics,Social Sciences,Biology,Natural Sciences,NA,NA,James A Haley VA Hospital,Psychiatrist,Psychotherapy,Psychotherapy,Health and Medicine,Health and Medicine
395,2005,Economics,Social Sciences,Biology,Natural Sciences,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
396,2007,Economics,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,University of Florida,Professor - Economics,Education,Education,Education,Education
397,2018,Economics,Social Sciences,Economics,Social Sciences,NA,NA,Krull-Smith,Florist,Farming,Farming,STEM,STEM
398,2019,Economics,Social Sciences,Economics,Social Sciences,NA,NA,Accenture CIPP/E,Security Consulting Analyst,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
399,2019,Economics,Social Sciences,Economics,Social Sciences,NA,NA,Unum,Business Analyst,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
400,2016,Economics,Social Sciences,Economics,Social Sciences,NA,NA,MapleMark Bank,Sr. Data Analyst,Banking,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
401,2020,Economics,Social Sciences,Economics,Social Sciences,NA,NA,FIS,Business Analyst,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
402,2012,Gender Studies,Social Sciences,Economics,Social Sciences,NA,NA,University of Utah,teaching assistant,Education,Education,Education,Education
403,2014,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Sequoya Group,Business Analyst,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
404,2018,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Dees Insurance Group,Insurance Advisor,Insurance,Insurance,"Business, Finance, and Retail","Business, Finance, and Retail"
405,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,IMG Academies,Staff,Sports Management,Sports Management,"Business, Finance, and Retail","Business, Finance, and Retail"
406,2010,Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,University of Georgia,PhD Student,Education,Education,Education,Education
407,2014,Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,University of Wisconsin-Madison,Teaching Assistant,Education,Education,Education,Education
408,2009,Mathematics,Natural Sciences,Economics,Social Sciences,NA,NA,CitiGroup,Leveraged Finance Analyst,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
409,2020,Urban Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Realize Bradenton,Research Assistant,Research,Research,STEM,STEM
410,2004,Economics,Social Sciences,Political Science,Social Sciences,NA,NA,Middle District of Florida Federal Public Defender,Assistant Federal Defender,Law,NA,Government and Social Services,Government and Social Services
411,2008,Economics,Social Sciences,Political Science,Social Sciences,NA,NA,Sims and Sims LLP,Attorney,Law,Law,Government and Social Services,Government and Social Services
412,2014,English,Humanities,NA,NA,NA,NA,Equivity,Virtual Marketing Assistant,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
413,2010,English,Humanities,NA,NA,NA,NA,Micro Focus International,NA,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
414,2010,English,Humanities,NA,NA,NA,NA,Columbia College Chicago,Graduate Student & Published Author,Education,Education,Education,Education
415,2015,English,Humanities,NA,NA,NA,NA,Sunshine Home Montessori School,Montessori English Teacher,Education,Education,Education,Education
416,2014,English,Humanities,NA,NA,NA,NA,Unknown,NA,Non Profit,Non Profit,Government and Social Services,Government and Social Services
417,2011,English,Humanities,NA,NA,NA,NA,YourMembership,Quality Assurance Engineer,Software,Software,STEM,STEM
418,2015,English,Humanities,NA,NA,NA,NA,Informa Markets,Digital Marketing Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
419,2010,English,Humanities,NA,NA,NA,NA,New College - Black Box Theatre,Technical Director,Arts,NA,Arts and Media,Arts and Media
420,2019,English,Humanities,NA,NA,NA,NA,Webstaurantstore.com,Content Writer,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
421,2012,English,Humanities,NA,NA,NA,NA,The Maryland Multi-Housing Association,Marketing Director,Non Profit,Non Profit,Government and Social Services,Government and Social Services
422,2011,English,Humanities,NA,NA,NA,NA,MemberClicks,Site Reliability Engineer,Software,Software,STEM,STEM
423,2016,English,Humanities,NA,NA,NA,NA,Freelance writer,Freelance writer,Media,Media,Arts and Media,Arts and Media
424,2014,English,Humanities,NA,NA,NA,NA,State College of Florida Foundation,Alumni Coordinator,Education,Education,Education,Education
425,2020,English,Humanities,NA,NA,NA,NA,Nuovo Bride Magazine and Events,Social Media Manager (freelance),Media,Media,Arts and Media,Arts and Media
426,2011,English,Humanities,NA,NA,NA,NA,Unknown,Editor,Publishing,Publishing,Arts and Media,Arts and Media
427,2014,English,Humanities,NA,NA,NA,NA,University of Mississippi,Teaching Assistant,Education,Education,Education,Education
428,2013,English,Humanities,NA,NA,NA,NA,Shipping,Processor,Shipping,Shipping,"Business, Finance, and Retail","Business, Finance, and Retail"
429,2020,Interdisciplinary,Interdisciplinary,English,Humanities,NA,NA,Pinellas County Tax Collector,Communications Specialist,Communications,Communications,Arts and Media,Arts and Media
430,2013,English,Humanities,Art History,Humanities,NA,NA,USF Health,Operations Manager,Education,Education,Education,Education
431,2013,English,Humanities,Gender Studies,Social Sciences,NA,NA,Green Door Behavioral Health,Employment Specialist,Human Resources,Human Resources,"Business, Finance, and Retail","Business, Finance, and Retail"
432,2014,History,Social Sciences,English,Humanities,NA,NA,Emissary,Senior Software Engineer,Software,Software,STEM,STEM
433,2012,Philosophy,Humanities,English,Humanities,NA,NA,Poloi Players' Editron Magazine,Editor,Publishing,Publishing,Arts and Media,Arts and Media
434,2013,English,Humanities,Russian Language and Literature,Humanities,NA,NA,Planned Parenthood,Development and Event Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
435,2008,Biology,Natural Sciences,NA,NA,NA,NA,Yale School of Forestry & Environmental Studies,Research Assistant,Education,Education,Education,Education
436,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,NA,NA,Centers for Disease Control and Prevention,Epidemiologist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
437,2015,Environmental Studies,Interdisciplinary,Biopsychology,Interdisciplinary,NA,NA,US Forest Service,Forestry Tecnician,Government,Government,Government and Social Services,Government and Social Services
438,2004,Art,Humanities,Environmental Studies,Interdisciplinary,NA,NA,Center for Research in Nutrition and Health Disparities,Evaluation Coordinator / Research Coordinator,Healthcare,Healthcare,Health and Medicine,Health and Medicine
439,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Ace Hardware,Marketing Manager,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
440,2002,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Loyola University,Director of Admissions Operations and Technology,Education,Education,Education,Education
441,2002,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Morgan Films,Film Producer,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
442,2013,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Ringling Museum,Event Assistant,Services,Services,"Business, Finance, and Retail","Business, Finance, and Retail"
443,2008,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,University of Florida,Entomology Research Assistant,Education,Education,Education,Education
444,2014,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Friendship Centers,Creative Services Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
445,2017,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,University of Oregon,Graduate Employee,Education,NA,Education,Education
446,2005,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,WA State Office of the Attorney General,Assistant Attorney General,Law,Law,Government and Social Services,Government and Social Services
447,2016,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,ScribeAmerica,Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
448,2011,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Clean Water Action,Community Organizer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
449,2011,Environmental Studies,Interdisciplinary,Art,Humanities,NA,NA,Kendall Regional Medical Center,Emergency Medicine Resident,Medical,NA,Health and Medicine,Health and Medicine
450,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Mise en Place Catering,Server,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
451,2005,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,U.S. Fish and Wildlife Services,Biologist (Endangered Species),Environmental Services,Environmental Services,STEM,STEM
452,2010,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Advance Auto Parts,Parts Sales Professional and 4th Key Holder,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
453,2006,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Catch a Piece of Maine,Managing Director,Food Franchise,Food Franchise,"Business, Finance, and Retail","Business, Finance, and Retail"
454,2009,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Leesburg Public Library,Young Adult Librarian,Library,Library,Education,Education
455,2008,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Urban Acre Homestead,Owner,Farming,Farming,STEM,STEM
456,2014,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,PropLogix,Manager of IT,Technology,Technology,STEM,STEM
457,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Stetson Law School,Law Student,Education,Education,Education,Education
458,2015,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Manatee County Parks & Nat. Res.,Site Supervisor,Government,Government,Government and Social Services,Government and Social Services
459,2009,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Studio Yooga,Owner,Healthcare Services,NA,Health and Medicine,Health and Medicine
460,2006,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Unknown,Field Technician,Environmental,Environmental,STEM,STEM
461,2013,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Woodland Ranch,NA,Real Estate,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
462,2007,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Whole Foods,Sustainability Consultant,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
463,2013,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,El Greco Cafe,Hostess,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
464,2006,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,SomaGaia,"Bodyworker, Yoga Instructor, Somatic Env. Educ.",Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
465,2009,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,"WJB Capital Group, Inc.",Business Development & Asian Trading,Economic Development,Economic Development,Government and Social Services,Government and Social Services
466,2008,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Atkins,Senior Scientist,Environmental,Environmental,STEM,STEM
467,2015,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Natural Stone Solutions,Sales,Business,Business,"Business, Finance, and Retail","Business, Finance, and Retail"
468,2020,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Drinkswell Service Co.,Assistant,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
469,2002,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,"Office of Watersheds, Philadelphia Water Department",City Planner,City/County/State,City/County/State,Government and Social Services,Government and Social Services
470,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Spiral Samurai,Creative Director,Performing Arts,Performing Arts,Arts and Media,Arts and Media
471,2006,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Myler Disability,Attorney,Law,Law,Government and Social Services,Government and Social Services
472,2008,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,NYC Department of Parks and Recreation,Resource Analyst,Government,Government,Government and Social Services,Government and Social Services
473,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Pan African Sanctuary Alliance,Administration and Communications Manager,Non Profit,Non Profit,Government and Social Services,Government and Social Services
474,2015,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,American Museum of Natural History,Museum Educator Supervisor,Museums and Institutions,Museums and Institutions,Education,Education
475,2009,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Unknown,NA,Environmental Services,Environmental Services,STEM,STEM
476,2013,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Phillies Bidge Farm Project,Apprentice,Non Profit,Non Profit,Government and Social Services,Government and Social Services
477,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Guest Services Inc,Bartender,Services,Services,"Business, Finance, and Retail","Business, Finance, and Retail"
478,2008,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Nature Conservancy,NA,Environmental,NA,STEM,STEM
479,2012,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Fluke Corporation,Global Product Marketing Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
480,2005,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,The Xerces Society,Endangered Species Conservation Associate,Environmental Services,Environmental Services,STEM,STEM
481,2007,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Duvall County Public Schools,Teacher,Education,Education,Education,Education
482,2003,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,"USDA, NRCS",Soil Conservationist,Environmental Services,Environmental Services,STEM,STEM
483,2013,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Audra Locicero Photography,Freelance Photographer,Arts,Arts,Arts and Media,Arts and Media
484,2015,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Orange County Environmental Protection Division,GIS Intern,Government,Government,Government and Social Services,Government and Social Services
485,2017,Environmental Studies,Interdisciplinary,NA,NA,NA,NA,Planned Parenthood,Health Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
486,2003,Environmental Studies,Interdisciplinary,Performance Studies,Interdisciplinary,NA,NA,unknown,Producer,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
487,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,PhD Candidate in Anthropology,NA,Education,Education,Education,Education
488,2015,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,Orlando Science Center,Educator,Education,Education,Education,Education
489,2002,Environmental Studies,Interdisciplinary,Economics,Social Sciences,NA,NA,Illinois State University,Assistant Professor,Education,Education,Education,Education
